Title,Company,Posted on,Location,Experience,Skills
"Lead Engineer-c#,Azure services, sql-7 Yrs-Mumbai(Hybrid) job in",crescendo global,2025-08-02,Mumbai,7-9 Years,"c# programming, azure services, sql proficiency, data engineering, agile methodologies, java, devops, software engineering, api, python, software delivery, nosql, .net"
SQL Developer-5 Yrs-Gurgaon/Bangalore job in Gurgaon,crescendo global,2025-09-09,Bengaluru,5-8 Years,"sql query development, database optimization, etl processes management, performance tuning, data visualization tools, bi, security, postgresql, sql developer, mysql, sql development, python, rdbms"
Sr. Data Analyst,Analytics Vidhya,2025-09-07,Bengaluru,2-5 Years,"python, sas, data mining, ensemble, machine learning, sql, pl/sql"
"- .Net Fullstack (.Net, Angular, C#, Sql, Web API & Cloud  AWS /Azure)",CARRIER,2025-09-19,Hyderabad,4-6 Years,"net framework, web api development, angular js expertise, cloud applications, microsoft technologies, soa, git, asp.net, mongodb, c#, rest, github, entity framework, problem solving, visual studio, c#.net, soap"
SQL Developer  5-7 Years  Pan India (Hybrid) job in India,crescendo global,2025-07-26,Mumbai,5-7 Years,"sql development, etl processes, data integration, problem solving, data quality, t-sql, xml, sql developer, json, database developer"
"Software Engineer II (DataStage, SQL, AWS)-4-6 years exp- Bangalore Only",Worldpay,2025-08-25,Bengaluru,5-7 Years,"sql expertise, cloud solutions, etl pipeline development, data engineering, python programming, learning, recruitment, leave policy, decision making, team building"
"Lead Engineer-c#,Azure services, sql-7 Yrs-Mumbai(Hybrid) job in",crescendo global,2025-09-20,Mumbai,7-9 Years,"c# programming, azure services, sql proficiency, data engineering, agile methodologies, java, devops, software engineering, api, python, software delivery, nosql, .net"
Power Bi/ SQL Tableau Developer/Data analyst,BUSISOL SOURCING INDIA PVT. LTD,2025-09-07,Mumbai,6-8 Years,"r2, information technology, dbms, t-sql, xml, ssrs, c#, triggers, .net, microsoft technologies, bi, sql, t - sql, sql developer, rdbms, production support"
".Net Fullstack Developer (.Net, Angular, C#, Sql, Web API & Cloud  AWS /Azure)",CARRIER,2025-09-19,Hyderabad,4-6 Years,"web api development, angular framework proficiency, sql server management, cloud application exposure, microsoft technologies, soa, git, asp.net, mongodb, c#, rest, github, entity framework, problem solving, visual studio, c#.net, soap"
EBS RICE - PL/SQL,LINKTAG,2025-09-21,Hyderabad,10-13 Years,"soa, plsql, pl/sql, adf, oracle, oracle 6i, consultant, oracle fusion middleware, oracle support, forms"
