Title,Company,Posted on,Location,Experience,Skills
SQL Developer Module Lead,Sopra Steria,2025-09-20,Bengaluru,3-6 Years,"advanced sql development, t sql scripting, database administration, etl process development, object oriented scripting, t-sql, postgresql, ssrs, project life cycle, mongodb, python, c #, nosql, neo4j, cassandra, sql server administration, forms"
Sr Cloud Admin,SEVEN CONSULTANCY,2025-08-25,Hyderabad,2-5 Years,"rest, boomi, sql, consultant, pl/sql, reporting tools, soap"
"SQL DBA - Preferred Location Detroit, MI",CGI Information Systems and Management Consultants Pvt Ltd,2025-08-21,Detroit,5-8 Years,"database administration, sql development, best practices, architecture implementation, dba, sql dba"
Data Modeller - Expert in Data Warehousing & SQL with Banking Domain Knowledge,SYNECHRON,2025-09-23,Pune,6-8 Years,"data modeling expertise, sql proficiency, data governance familiarity, leadership and mentorship, information technology, erwin, business intelligence, database, data architect, data quality, data integration"
MS SQL Database Administrator with Basic Windows Administration Knowledge,CGI Information Systems and Management Consultants Pvt Ltd,2025-09-16,Czech,2-5 Years,"ms sql management, database optimization, windows server support, l and l support, l2 support, l1, windows administration"
Hiring For Connect24,krazy mantra hr solutions,2025-09-04,Chennai,2-5 Years,"finacle, troubleshooting, finacle scripting, pl sql/sql, core java, unix, connect24 cbc, uniser services, unix/linux"
Decision Analytics-Power BI & SQL-5  Years-Gurugram job in Gurgaon,crescendo global,2025-08-12,Gurgaon,6-10 Years,"decision analytics, power bi, sql, project management, insurance analytics, leadership hiring, recruitment, senior level"
"Lead Engineer-c#,Azure services, sql-7 Yrs-Mumbai(Hybrid) job in",crescendo global,2025-08-09,Mumbai,7-9 Years,"c# programming, azure services, sql proficiency, data engineering, agile methodologies, java, devops, software engineering, api, python, software delivery, nosql, .net"
MS SQL Developer,Paragyte Technologies,2025-08-09,Pune,3-6 Years,"ms sql development, sql performance tuning, complex t sql queries, data modeling techniques, stored procedures writing, information technology, problem solving, t-sql, sql developer"
EBS RICE - PL/SQL,LINKTAG,2025-09-21,Hyderabad,10-13 Years,"soa, plsql, pl/sql, adf, oracle, oracle 6i, consultant, oracle fusion middleware, oracle support, forms"
Rackspace - Cloud Database Engineer IV - IN (MS SQL   Cloud),rackspace technology,2025-08-29,Bengaluru,1-4 Years,"ms sql administration, cloud database management, migration strategy development, performance tuning, automation scripting, storage management, mysql, security, postgresql, rdbms, production support, sql server administration, sql database"
Apprentice_Freshers - ODI Developer,CGI Information Systems and Management Consultants Pvt Ltd,2025-08-09,Bengaluru,0-3 Years,"odi development, data integration, sql proficiency, software engineering"
Data Analyst,Analytics Vidhya,2025-09-07,Noida,2-5 Years,"python, sql, messaging, infrastructure"
Engineer DBA - Devops - J49500,SAMPOORNA CONSULTANTS PVT LTD,2025-08-13,Chennai,3-5 Years,sql
Oracle PL/SQL Developer with EDB PostgreSQL,Vitrana,2025-09-20,Noida,4-10 Years,"oracle pl/sql, exception handling, database development, database, postgresql, pl/pgsql, linux, data structures, oracle, windows"
"Lead Engineer-c#,Azure services, sql-7 Yrs-Mumbai(Hybrid) job in",crescendo global,2025-09-20,Mumbai,7-9 Years,"c# programming, azure services, sql proficiency, data engineering, agile methodologies, java, devops, software engineering, api, python, software delivery, nosql, .net"
Database Administrator - MS SQL,kyndryl,2025-09-23,Gurgaon,3-6 Years,"database management performance optimization user access controls disaster recovery planning database troubleshooting, database maintenance, sql, security, database administrator, replication, database administration, infrastructure"
"Micro Focus Cobol / MF-Cobol with Oracle, SQL, PLSQL",infinity business solutions pvt ltd,2025-09-20,Pune,5-7 Years,"micro focus cobol, mf cobol, oracle, sql, plsql, oracle pl/sql, oracle application server, sun solaris, plsql, internet technologies, unix scripting, database, security, windows nt, java, xml, system development, j2ee, project life cycle, software engineer, reports 6i, oracle forms, problem solving, triggers"
.Net /Angular / SQL Developer: Assistant Manager,SYNECHRON,2025-08-25,Pune,7-10 Years,"net development, angular framework, sql database management, project management, problem solving, information technology, software requirements, t-sql, git, asp.net, sql developer, c#, javascript, node.js"
"Software Engineer II (DataStage, SQL, AWS)-4-6 years exp- Bangalore Only",Worldpay,2025-08-25,Bengaluru,5-7 Years,"sql expertise, cloud solutions, etl pipeline development, data engineering, python programming, learning, recruitment, leave policy, decision making, team building"
"Jr. Data Analyst (Python, SQL, Power BI) Job Details | Gainwell Technologies LLC",Gainwell Technologies,2025-09-02,Bengaluru,1-4 Years,"data analysis, sql proficiency, python programming, power bi reporting, dashboard development"
"Microsoft .NET Developers/Senior Developers - NET, Asp.Net, C#, Jquery, OOPS, SQL Server 7",infinity business solutions pvt ltd,2025-09-20,Thiruvananthapuram,3-7 Years,"net, asp, net, c#, jquery, oops, microsoft .net, asp.net, software engineer, mvc, sql"
"Data Engineer (Python, SQL, AWS & Data Warehousing Expert) & ETL Tester",SYNECHRON,2025-08-25,Pune,7-10 Years,"python proficiency, sql expertise, cloud technologies, etl development, data warehousing, orchestration, rdbms, machine learning, management systems"
Data Scientist,Think Future Technologies Pvt Ltd,2025-09-09,Gurgaon,2-5 Years,"python, postgresql, sql, docker"
Adobe Analytics(dashboard SQL),LTIMindtree,2025-09-22,Hyderabad,3-5 Years,dashboard sql
MY SQL DBP,Zeta Global,2025-08-26,Hyderabad,3-7 Years,"mysql database development, dot net scripting, high availability applications, senior software engineer, artificial intelligence, apache, java, html, python, oracle, scala, jsp, linux, solaris, business applications, crm, san, mobile, lamp"
SQL Developer - 5  Year   Bengaluru job in Bengaluru,crescendo global,2025-07-26,Bengaluru,5-8 Years,"sql development, database design, data analysis, performance tuning, security measures, leadership hiring, learning, recruitment, compensation"
Software Developer 2,ORACLE,2025-09-23,Bengaluru,5-10 Years,"oracle database management sql query development pl/sql programming java language proficiency software debugging techniques, oracle pl/sql, plsql, software engineering"
"Software Engineer (Java/Scala, SQL, AWS, Spark on Kubernetes)",NIELSEN,2025-09-23,Bengaluru,4-6 Years,"big data applications, cloud architecture, agile methodologies, programming languages, troubleshooting techniques, orchestration, java, apache, devops, shell scripting, python, messaging, unix/linux, software developer, sql programming, scala, storage, security, debugging, json, software engineer"
C# Developer,LAKSH HUMAN RESOURCE,2025-09-02,Delhi,5-7 Years,"c#, entity framework, ado.net, t-sql, sql, linq, .net, debugging, object oriented programming"
Microsoft SQL DBA - IT,Flex,2025-09-23,Coimbatore,7-10 Years,"microsoft sql management, database performance tuning, backup and recovery, high availability solutions, cloud database support, recruitment, interview"
PL/SQL Developer,SYNECHRON,2025-08-24,Mumbai,7-10 Years,"investment banking processes, pl/sql and sql, risk management frameworks, unix/linux systems, software requirements, python scripting, java, crm, sybase, team player, logical thinking"
Sr. Data Analyst,Analytics Vidhya,2025-09-07,Bengaluru,2-5 Years,"python, sas, data mining, ensemble, machine learning, sql, pl/sql"
Lead Analyst - Python Developer with SQL,CGI Information Systems and Management Consultants Pvt Ltd,2025-08-07,Bengaluru,5-10 Years,"python development, sql proficiency, software engineering, data analysis, team collaboration, cgi"
"Java,Unix,SQL Application Support - Rotational Shifts (24/7)",FIS,2025-09-22,Chennai,3-6 Years,"java production support, unix shell scripting, event driven architecture, apache tomcat, sql, security, data structures, edi, messaging, eclipse, putty, application support, infrastructure, splunk"
Converse Placement Services India Pvt. Ltd.,Converse Placement services,2025-09-21,Chennai,6-9 Years,"oracle retail, cloud applications, sql and pl/sql, rest api, java, shell scripting, software engineer, weblogic, infrastructure, oracle sql"
SQL 2000 / 2005 Programmer,jtg infotech services pvt. ltd,2025-09-20,Delhi,2-5 Years,"team player, sql, xml"
"Module Lead - SQL, Snowflake Job Job Details | Yash Technologies",Yash Technologies Pvt Ltd,2025-08-25,Pune,5-7 Years,"sql server development, snowflake integration, data modeling expertise, etl process management, performance tuning, business intelligence, data quality, ssis, data integration, bi, data warehousing"
"Module Lead - SQL, Snowflake Job Job Details | Yash Technologies",Yash Technologies Pvt Ltd,2025-09-10,Pune,5-7 Years,"sql server development, snowflake integration, data modeling expertise, etl process management, performance tuning, business intelligence, data quality, ssis, data integration, bi, data warehousing"
Sql Analytics / ETL Developer,IMBIBE TECHNOLOGIES PVT LTD.,2025-09-20,Karnal,2-5 Years,"integration services, data warehousing, etl, etl developer, sql"
Experienced .NET Programmer,Dunamis,2025-09-20,United,0-3 Years,"computer application, problem solving, team player, sql, database, .net, sql database"
ETL Developer,Analytics Vidhya,2025-09-07,Hyderabad,2-3 Years,"metadata, bi, etl developer, sql, database, pentaho, etl, olap, data integration, forms, sql database"
".Net Fullstack (.Net Core, C#, Web API, SQL Server, Angular & AWS/Azure)",CARRIER,2025-09-19,Hyderabad,2-4 Years,"web api development, sql server expertise, angular / react proficiency, cloud application exposure, microsoft technologies, soa, git, asp.net, mongodb, c#, rest, github, entity framework, problem solving, visual studio, c#.net, soap"
"Hiring For Python developer with Jango flask, SQL Strong and API Development",krazy mantra hr solutions,2025-09-04,Gurgaon,1-9 Years,"python development, django flask, api development, immediate hiring"
SQL Server Content Developer,eDominer Systems,2025-09-02,Kolkata,3-6 Years,"learning, incentives"
"Lead Engineer-c#,Azure services, sql-7 Yrs-Mumbai(Hybrid) job in",crescendo global,2025-08-27,Mumbai,7-9 Years,"c# programming, azure services, sql proficiency, data engineering, agile methodologies, java, devops, software engineering, api, python, software delivery, nosql, .net"
Senior .NET Developer (SQL Server / AWS),Sonata Software Ltd,2025-08-15,Bengaluru,7-10 Years,"net development, c# programming, aws services, entity framework, javascript frameworks, html5, jquery, docker, sql, security, devops, web api, kendo ui, .net"
