Title,Company,Posted on,Location,Experience,Skills
MY SQL DBP,Zeta Global,2025-08-26,Hyderabad,3-7 Years,"mysql database development, dot net scripting, high availability applications, senior software engineer, artificial intelligence, apache, java, html, python, oracle, scala, jsp, linux, solaris, business applications, crm, san, mobile, lamp"
SQL Support Engineer (Finance Domain) - IT,Flex,2025-09-23,Coimbatore,4-6 Years,"sql query writing, problem solving, data analysis, user support, recruitment, interview"
SQL   Power BI - Associate Support Engineer,3RI Technologies Pvt Ltd,2025-09-11,Pune,0-1 Years,"networking, infrastructure, windows server, support engineer"
"Analyst, SQL Database",Flex,2025-09-23,Coimbatore,4-6 Years,"sql database management, itil framework implementation, database stability assurance, enterprise database design, automation and monitoring, repair, amp, enhancements, mttr, manufacturing, mtbf, innovation, root cause, maintenance"
Oracle PL/SQL Developer,Kaarya Consulting Services Pvt Ltd,2025-09-20,Hyderabad,3-5 Years,"oracle pl/sql, debugging, programming language"
"App support with Linux, SQL/ Oracle, Scripting- Rotational Shifts (24/7)",FIS,2025-08-24,Pune,3-5 Years,"linux administration, sql/oracle expertise, shell scripting, application support, security, unix shell scripting, devops, mq, production support, infrastructure setup, putty, splunk"
"Consultant - Product Management - AI/ML (Python, SQL, Tableau, GenAI)",Verizon Data Services India Pvt Ltd,2025-08-28,Chennai,7-10 Years,"ai technologies, product management, data analytics, bb acumen, strategic thinking, sql, data extraction, design thinking, consulting, predictive analytics, statistical analysis"
SQL Developer,CGI Information Systems and Management Consultants Pvt Ltd,2025-07-29,Canada,1-5 Years,"sql development, data management, software engineering, database design, problem solving, sql developer"
SQL Developer,highrise solutions llp,2025-09-20,Pune,3-5 Years,"sql, ssrs, wpf, mvc, database design, symfony, system development, mysql, c#, .net, bi, database development, sql developer, visual basic, software engineer, team player, database developer, cobol, infrastructure, php, sql database"
"Senior Software Engineer - Bigdata ( Java/Scala , Spark, SQL , AWS)",NIELSEN,2025-08-24,Bengaluru,4-8 Years,"cloud implementation, big data analytics, agile methodologies, software development, mentorship and coaching, orchestration, information technology, apache, java, devops, software engineering, shell scripting, mysql, python, oracle, unix/linux, hive, scala, docker, security, git, postgresql"
".NET CORE, REACT, SQL  SENIOR MANAGER, FULL-STACK",infinity business solutions pvt ltd,2025-09-20,Bengaluru,10-20 Years,"net core, react, sql, full stack, rest api, sql, react.js, elastic search, database, devops, asp.net, asp. net, mongodb, asp .net, microsoft azure, nosql"
Senior Specialist Software Engineering - PL/SQL Developer,AT&T,2025-09-13,Bengaluru,4-5 Years,"pl/sql development, database optimization, performance tuning, data modeling, agile methodologies, information technology, system development, software engineering, mysql, pl/sql developer, github, oracle, triggers, database programming, delivery management, sql programming, security"
MS SQL Developer,Paragyte Technologies,2025-08-09,Pune,3-6 Years,"ms sql development, sql performance tuning, complex t sql queries, data modeling techniques, stored procedures writing, information technology, problem solving, t-sql, sql developer"
Project Engineer - Oracle PL/SQL Developer,HITACHI,2025-09-23,Bengaluru,5-9 Years,"plsql database development, software system development, oracle sql querying, troubleshooting software issues, agile project management, software requirements, pl/sql, hitachi"
SQL DEVELOPER,pam technologies pvt. ltd.,2025-08-26,Ahmedabad,2-3 Years,"sql developer, ms sql server, stored procedures, functions, triggers, database performance tuning, maintenance plans, backup, indexes, constraints, replication, log shipping, mirroring, server security, database encryption., database security"
"Consultant - Product Management - AI/ML (Python, SQL, Tableau, GenAI)",Verizon Data Services India Pvt Ltd,2025-09-18,Chennai,7-10 Years,"ai technologies, product management, data analytics, bb acumen, strategic thinking, sql, data extraction, design thinking, consulting, predictive analytics, statistical analysis"
Senior .NET Developer (SQL Server / AWS),Sonata Software Ltd,2025-08-15,Bengaluru,7-10 Years,"net development, c# programming, aws services, entity framework, javascript frameworks, html5, jquery, docker, sql, security, devops, web api, kendo ui, .net"
IT Manager DataMgmt SQL Server,LINKTAG,2025-09-21,Pune,4-7 Years,"performance tuning, sql server dba, debugging, sql programming"
SQL Developer - 5  Year   Bengaluru job in Bengaluru,crescendo global,2025-07-26,Bengaluru,5-8 Years,"sql development, database design, data analysis, performance tuning, security measures, leadership hiring, learning, recruitment, compensation"
"Data Engineer - Python,SQL,AWS - 6  Years - Gurugram job in Gurugram",crescendo global,2025-09-09,Gurgaon,6-9 Years,"data engineering expertise, sql proficiency, information technology, hadoop, big data"
SQL DBA,E Hook Systems,2025-09-20,Delhi,5-8 Years,"replication, performance tuning, sql, database, sql dba, oracle database, log shipping, mirroring"
Database developer  SQL Server,ESN TECHNOLOGIES,2025-09-19,Hyderabad,1-4 Years,"data warehousing, sql, database, data modeling, etl, ssas, database security, integration services, ssis"
"Senior Lead Analyst - Managed Service Change(Intellimatch,SQL)",FIS,2025-09-20,Pune,4-8 Years,"reconciliation development, sql database management, uat testing support, change implementation, client relationship building, regression testing, security, waterfall, jira, data integrity, windows, agile, health benefits"
".NET Developer (C#, SQL and RabbitMQ)",SYNECHRON,2025-09-20,Chennai,6-9 Years,"c# programming, rabbitmq messaging, net framework, agile methodologies, microsoft technologies, information technology, .net technologies, software requirements, database, git, devops, asp.net, mysql, python, .net developer, visual studio"
PL/SQL Developer,CITI,2025-09-23,Delhi,5-9 Years,"programming languages proficiency, security vulnerability analysis, programmer analyst, t-sql, aix, database, devops, linux, debugging, shell scripting, oracle, rdbms, sybase, windows, oracle rdbms, unix"
Senior Oracle - PL/SQL Database Developer,institutional shareholder services,2025-08-24,Mumbai,4-8 Years,"pl/sql programming, database design, performance management, troubleshooting issues, agile development, oracle pl/sql, oracle programmer, technology infrastructure, database developer"
SQL Server DBA,Surtel Technologies Pvt. Ltd.,2025-09-20,Indore,3-6 Years,"sql server database administrator, sql tuning, sql server dba, disaster recovery, patching, sql, database, linux, mirroring, replication, dts, sybase, performance tuning, windows, database administration, log shipping"
"Senior Software Engineer - SQL, Snowflake, Python - Bangalore",Photon,2025-09-19,Bengaluru,3-5 Years,"sql optimization, snowflake projects, python scripting, aws services, data migration, oracle, orchestration, information technology, infrastructure"
Consultant - SAS/SQL/ Tableau,Analytics Vidhya,2025-09-07,Bengaluru,1-3 Years,"sas, logical thinking, sql, tableau, consultant, sas/sql"
Tableau Developer - Tableau/SQL - 3  Years - Kolkata job in Calcutta,crescendo global,2025-07-26,Kolkata,3-6 Years,"tableau development, sql proficiency, data visualization, dashboard design, leadership hiring, recruitment"
SQL Developer,M/s Fast and Furious Consulting,2025-09-21,Gurgaon,0-3 Years,"sql queries, sql developer, production database"
"Senior Lead Analyst - Implementation Conversion (ETL, PL/SQL)",FIS,2025-09-22,Pune,8-10 Years,"data migration expertise, pl/sql development, ssis proficiency, etl processes, rdbms concepts ###, t-sql, java, xml, ssrs, c#, python, oracle, triggers, soap, bi, database, security, git, json, pl / sql, rest, system architecture"
SQL DBA,INTERSOFTKK (INDIA) PVT. LTD.,2025-09-21,Bengaluru,6-9 Years,"disaster recovery, patching, database, windows nt, sql dba, technology consulting, mirroring, replication, dba, performance tuning, windows, veritas, log shipping, sql programming, sql database"
"Lead Analyst - Product Support (Linux, SQL / Trading Support)",FIS,2025-09-20,Pune,3-6 Years,"trading platform expertise, sql database management, linux shell scripting, real time troubleshooting, authoring, security, os, system management, windows, infrastructure, unix"
PL/SQL Developer,SYNECHRON,2025-08-24,Mumbai,7-10 Years,"investment banking processes, pl/sql and sql, risk management frameworks, unix/linux systems, software requirements, python scripting, java, crm, sybase, team player, logical thinking"
SQL Developer - IT Services and Consulting - 5  Years - Bangalore job,crescendo global,2025-08-14,Bengaluru,5-8 Years,"sql development database design data analysis performance tuning data security, leadership hiring, learning, recruitment, compensation"
Power BI   SQL   Excel - Bangalore Assistant Manager-Analytics,WNS (Holdings) Ltd,2025-09-20,Bengaluru,1-3 Years,"sql programming, data visualization, analytical thinking, dashboard development, statistical techniques, business requirements, bi, dashboards, data science, design thinking, business environment, tableau, business process management"
"Senior Software Engineer (Java, Spring Boot, Microservices, SQL)",Uzio Technology pvt Ltd.,2025-09-13,Noida,4-7 Years,"java development, spring boot, microservices architecture, sql proficiency, restful apis, cursor, senior software engineer, hibernate, docker, postgresql, devops, software engineering, oracle, team player, infrastructure, web technologies"
"Senior Lead Analyst - Managed Service Change(Intellimatch,SQL)",FIS,2025-09-20,Pune,4-8 Years,"reconciliation development, sql database management, client relationship management, automation process improvement, regression testing, security, waterfall, jira, uat, data integrity, windows, agile, health benefits"
Data Engineer (SQL and DAX),highrise solutions llp,2025-09-20,Pune,6-8 Years,"sql, dax, etl, mysql, data engineering, symfony, apache, java, ssrs, python, scala, bi, database, security, postgresql, sql developer, software engineer, mvc, microsoft azure, infrastructure, php"
"Senior Software Engineer - Bigdata ( Java / Scala / Python , Spark, SQL , AWS)",NIELSEN,2025-08-24,Mumbai,4-8 Years,"cloud architecture big data analytics agile methodologies software development team mentorship, orchestration, information technology, apache, java, devops, software engineering, shell scripting, mysql, python, oracle, messaging, unix/linux, hive, scala, docker, security, git, postgresql"
Business Analyst  Capital Markets | SQL   Agile 5  Yrs Bangalore &,crescendo global,2025-09-21,Coimbatore,5-8 Years,"sql database management, data analysis techniques, agile methodologies, xml, python, sybase, unix, bi, xsd, fx, sas, problem solving, production support"
Lead Analyst - Python Developer with SQL,CGI Information Systems and Management Consultants Pvt Ltd,2025-08-07,Bengaluru,5-10 Years,"python development, sql proficiency, software engineering, data analysis, team collaboration, cgi"
"Lead Software Developer - Asp.Net, MVC, JavaScript, JQuery, SQL",infinity business solutions pvt ltd,2025-09-20,Bengaluru,6-9 Years,"asp, net, mvc, javascript, jquery, sql, css, technical leader, information technology, jquery, sql, project leader, java, xml, asp.net, html, mvc, windows azure, c#, javascript, software developer, forms"
Looking for Microsoft SQL Server Programer for Bangalore location,TandA HR Solutions,2025-08-04,Bengaluru,1-2 Years,"power bi development python programming sql querying data analytics techniques etl process management, information technology, postgresql, big data, sql database"
EBS RICE - PL/SQL,LINKTAG,2025-09-21,Hyderabad,10-13 Years,"soa, plsql, pl/sql, adf, oracle, oracle 6i, consultant, oracle fusion middleware, oracle support, forms"
Site Reliability Engineer (PG SQL / Oracle),UBS,2025-09-20,Pune,5-7 Years,"database management, postgresql expertise, oracle operations, cloud infrastructure, automation scripting, information technology, hosting, oid, git, software engineering, html, python, sybase, unix"
SQL Developer-5 Yrs-Gurgaon/Bangalore job in Gurgaon,crescendo global,2025-09-09,Bengaluru,5-8 Years,"sql query development, database optimization, etl processes management, performance tuning, data visualization tools, bi, security, postgresql, sql developer, mysql, sql development, python, rdbms"
SQL SERVER Developer,Fulcrum Digital,2025-08-25,Pune,3-5 Years,"sql server development, t sql programming, database design, performance optimization, data integrity assurance, sql server developer, t-sql, database development, security, ssrs, data structures, triggers, sql server developer"
Production Support (SQL) - IT,Flex,2025-09-19,Chennai,5-8 Years,"customer oriented mindset, lean process improvement, recruitment, mapping, interview"
"Senior Analyst, SAS & SQL, Statistics",infinity business solutions pvt ltd,2025-09-20,Bengaluru,2-5 Years,"sas, sql, statistics, analytical, data mining, sas, software engineer, sql"
SQL Developer,Headhuntersinc consultancy Private Limited,2025-09-04,Chennai,5-8 Years,"sql development, ssrs, sql developer, triggers, sql"
Hiring For Business System Analyst/Data Analyst - Azure Data Factory -SQL,krazy mantra hr solutions,2025-08-29,Chennai,5-8 Years,"business system analyst, data mapping, azure data factory, sql data analysis, data integration, data analytics, bi, data analyst, tableau"
SQL Developer,LINKTAG,2025-09-21,Pune,4-7 Years,"sql developer, debugging, sql programming"
SQL Developer,rheinbrücke it consulting pvt ltd,2025-09-20,Chennai,5-8 Years,"bi, t-sql, sql, sql developer"
Azure SQL Developer,deevita technologies,2025-09-19,Chennai,3-5 Years,"service oriented, bi, database, ssrs, sql developer, project life cycle, api, business applications, mongodb, c#, microsoft azure, nosql, web technologies, .net, sql database"
Tableau Developer - Tableau/SQL - 3  Years - Kolkata job in Calcutta,crescendo global,2025-09-20,Kolkata,3-6 Years,"tableau development, sql proficiency, data visualization, dashboard design, leadership hiring, recruitment"
Tableau Developer - Tableau/SQL - 3  Years - Kolkata job in Calcutta,crescendo global,2025-08-27,Kolkata,3-6 Years,"tableau development, sql proficiency, data visualization, dashboard design, leadership hiring, recruitment"
"Lead Software Engineer (C  , C#, MFC, SQL, and OOPS)",Pall India Pvt Ltd,2025-08-31,Bengaluru,8-12 Years,"software development, c programming, unit testing, debugging techniques, sql, devops, oops, software engineer, software engineering, c#, cloud services, mfc, windows, visual studio"
"Data Engineer,GCP - SQL,Python -5 Years - Gurgaon job in",crescendo global,2025-09-20,Gurgaon,5-8 Years,"data engineering, sql expertise, python programming, gcp proficiency, data pipeline optimization, security"
"Snowflake Data Engineer (Snowflake, SQL, Python Automation)",DXC Technologies,2025-08-13,Chennai,4-6 Years,"snowflake sql, python automation, etl development, data quality assurance, cloud platforms, orchestration, bi, data warehousing, security, git, adf"
InP - Database Administrator Specialist (SQL DBA) _9-12 Yrs-Bangalore,Worldpay,2025-08-25,Bengaluru,10-13 Years,"sql server administration, database performance tuning, backup and recovery strategies, complex sql queries, database security policies, database maintenance, sql server dba, disaster recovery, sql dba, database migration, database mirroring, index, database administration, query optimization"
Microsoft Sql db Trainer,BRINGLE ACADEMY,2025-09-21,Mumbai,0-3 Years,"microsoft sql, training manuals, develop training"
MS SQL Database Administrator with Basic Windows Administration Knowledge,CGI Information Systems and Management Consultants Pvt Ltd,2025-09-16,Czech,2-5 Years,"ms sql management, database optimization, windows server support, l and l support, l2 support, l1, windows administration"
Hiring For Python   Azure   Databricks   Hadoop   Snowflake   SQL,krazy mantra hr solutions,2025-09-05,Chennai,2-7 Years,"python, azure, databricks, hadoop, snowflake, sql"
"Technical Consultant - Oracle, PL/SQL, Informatica, Fund Accouting",infinity business solutions pvt ltd,2025-09-20,Gurgaon,10-13 Years,"oracle, pl/sql, informatica, fund accounting, technical leadership, autosys, data warehousing, control-m, plsql, unix scripting, perl, pl/sql, oracle, production support, technical consultant, oracle sql"
"Software Engineer - Bigdata ( Java/Scala ,Python, Spark, SQL, AWS )",NIELSEN,2025-08-24,Bengaluru,3-5 Years,"cloud architecture expertise, big data processing, unit & integration testing, orchestration, java, apache, devops, shell scripting, mysql, python, messaging, unix/linux, software developer, scala, storage, security, postgresql, json"
Manager - Reporting - Python/Power BI & SQL - 6  Years - Gurgaon job,crescendo global,2025-09-20,Gurgaon,6-8 Years,"python programming, sql database management, power bi visualization, data automation techniques, stakeholder engagement, leadership hiring, recruitment, workforce, performance management"
Senior SQL Server Architect and SQL Developer,BAKER HUGHES,2025-08-24,Hyderabad,8-11 Years,"sql database development database optimization techniques advanced sql querying cloud database migration database security management, information technology, sql developer, rdbms, triggers"
