Title,Company,Posted on,Location,Experience,Skills
Database Administrator SQL server,BAKER HUGHES,2025-08-26,Gurgaon,4-5 Years,"sql server administration, performance tuning, database security management, disaster recovery planning, data integration solutions, dba, index, ssms, query optimization, sql server dba, database administrator, replication, sql database"
Azure SQL Developer,deevita technologies,2025-09-19,Chennai,3-5 Years,"service oriented, bi, database, ssrs, sql developer, project life cycle, api, business applications, mongodb, c#, microsoft azure, nosql, web technologies, .net, sql database"
SQL Server Administration,Infinizi Consulting Pvt. Ltd.,2025-09-20,Noida,4-7 Years,"recovery, storage, sql, database, security, dba, operating system, database security, windows, database administration, sql profiler, sql server administration, database tuning"
MS SQL Developer,Paragyte Technologies,2025-09-20,Pune,3-6 Years,"ms sql development, sql performance tuning, complex t sql queries, data modeling techniques, stored procedures writing, information technology, problem solving, t-sql, sql developer"
Finance - Technical SQL - Assistant Manager,Paytm,2025-09-23,Noida,6-9 Years,"data analysis, ms excel proficiency, sql expertise, business intelligence, commerce, corporate finance, financing, external audit, business finance"
SQL Developer - IT,Flex,2025-09-19,Chennai,3-6 Years,"complex query writing, analytical thinking, scripting techniques, database, sql developer, oracle, triggers"
Test Engineer - Python / SQL,krazybee,2025-09-13,Bengaluru,2-3 Years,"api testing, sql database testing, test case writing, python automation, defect logging, automation test engineer, regression testing, test cases, test reporting, system testing, bug tracking, writing test cases"
"Developer, NET SQL",Flex,2025-09-23,Coimbatore,0-3 Years,"full stack development, angular / reactjs, net core api, sql programming, database management, java, microsoft .net, web api"
MS SQL,INTERSOFTKK (INDIA) PVT. LTD.,2025-09-21,Bengaluru,0-3 Years,"sql, database development, database, technology consulting, ssrs, sql developer, shell scripting, sybase, triggers, expect, unix"
SQL- Database Administrator,kyndryl,2025-09-19,Mumbai,4-7 Years,"database management, user access management, backup and restoration, disaster recovery planning, data security implementation, sql, postgresql, mysql, oracle, infrastructure, sql database"
PL/SQL Developer,CITI,2025-09-23,Delhi,5-9 Years,"programming languages proficiency, security vulnerability analysis, programmer analyst, t-sql, aix, database, devops, linux, debugging, shell scripting, oracle, rdbms, sybase, windows, oracle rdbms, unix"
MS SQL DBA,NUWARE SYSTEMS PVT LTD,2025-09-02,Bengaluru,4-8 Years,"sql 2000 2016, clusters, replication, backup strategies, database maintenance, restore, windows, windows os, security, sql dba, log shipping, mirroring, senior database administrator"
SQL Server Content Developer,eDominer Systems,2025-09-02,Kolkata,3-6 Years,"learning, incentives"
"Consultant, Analytics (SQL)",cloudxlab,2025-09-21,Bengaluru,2-4 Years,"macros, data analysis, sas, consulting, bi, sql, tableau, consultant, vba"
Intern Python/SQL,3RI Technologies Pvt Ltd,2025-09-11,Pune,0-3 Years,"python programming, powershell scripting, data analysis"
Sr. SQL DBA,INTERSOFTKK (INDIA) PVT. LTD.,2025-09-21,Bengaluru,6-9 Years,"disaster recovery, patching, database, windows nt, sql dba, technology consulting, mirroring, replication, dba, performance tuning, windows, veritas, log shipping, sql programming, sql database"
SQL Developer,LINKTAG,2025-09-21,Pune,4-7 Years,"sql developer, debugging, sql programming"
MS SQL Developer,Paragyte Technologies,2025-08-09,Pune,3-6 Years,"ms sql development, sql performance tuning, complex t sql queries, data modeling techniques, stored procedures writing, information technology, problem solving, t-sql, sql developer"
SQL Engineer,"Milestone Technologies, Inc.",2025-09-14,Hyderabad,3-5 Years,"sql data feeds, oracle pl/sql, data analysis, reporting solutions, data security, oracle sql"
Senior Database Administrator SQL Server,BAKER HUGHES,2025-08-24,Gurgaon,7-8 Years,"sql server administration, performance tuning, cloud devops automation, t sql scripting, data security management, disaster recovery, dba, database security, ssms, query optimization, senior database administrator, performance monitoring, sql server dba, replication, sql database"
SQL Engineer,"Milestone Technologies, Inc.",2025-09-14,Hyderabad,3-5 Years,"oracle pl/sql, data integration, data analysis, reporting solutions, oracle sql"
Database Administrator - MS SQL,kyndryl,2025-09-23,Gurgaon,3-6 Years,"database management performance optimization user access controls disaster recovery planning database troubleshooting, database maintenance, sql, security, database administrator, replication, database administration, infrastructure"
MS SQL Developer,Paragyte Technologies,2025-09-10,Pune,3-6 Years,"ms sql development, sql performance tuning, complex t sql queries, data modeling techniques, stored procedures writing, information technology, problem solving, t-sql, sql developer"
SQL DBA,INTERSOFTKK (INDIA) PVT. LTD.,2025-09-21,Bengaluru,6-9 Years,"disaster recovery, patching, database, windows nt, sql dba, technology consulting, mirroring, replication, dba, performance tuning, windows, veritas, log shipping, sql programming, sql database"
SQL Server Database Administrator,information dynamics india pvt ltd.,2025-09-20,Chennai,4-7 Years,"rdbms, mvp, ms sql server, sql server, database design, security"
Senior DB Engineer- SQL,infinity business solutions pvt ltd,2025-09-20,Bengaluru,4-6 Years,"sql, db engineer, data cleansing, data migration, data maintenance, database, software engineer, sql"
SQL Developer,M/s Fast and Furious Consulting,2025-09-21,Gurgaon,0-3 Years,"sql queries, sql developer, production database"
Senior SQL Server Architect and SQL Developer,BAKER HUGHES,2025-08-24,Hyderabad,8-11 Years,"sql database development database optimization techniques advanced sql querying cloud database migration database security management, information technology, sql developer, rdbms, triggers"
SSE- Finance SQL,Paytm,2025-09-23,Noida,2-3 Years,"data analysis, sql proficiency, ms excel expertise, brewing"
SQL Expert - AM,Renault Group,2025-08-26,Chennai,5-7 Years,"oracle database concepts, postgres performance tuning, query optimization techniques, complex query tuning, database migration expertise, triggers, postgresql"
SQL Azure Developer,eurofins it solutions pvt ltd,2025-08-26,France,3-5 Years,"database design, t sql development, performance tuning, azure sql expertise, database administration, t-sql, cli, database security, erp/crm, triggers, storage, database management, sql azure, rest, information management, software delivery, mobile, problem solving"
PL/SQL Developer,SYNECHRON,2025-08-24,Mumbai,7-10 Years,"investment banking processes, pl/sql and sql, risk management frameworks, unix/linux systems, software requirements, python scripting, java, crm, sybase, team player, logical thinking"
PL SQL Developer,virtusa consulting services pvt. ltd.,2025-09-04,Spain,3-6 Years,"pl/sql development, agile methodologies, threat modeling techniques, spring boot, sql developer"
SQL Developer,Metaphor Consulting,2025-09-20,Jamshedpur,0-2 Years,"sql developer, troubleshooting, application maintenance"
SQL Developer,highrise solutions llp,2025-09-20,Pune,3-7 Years,"sql server, ssis, etl, ssrs, power bi, etl development, rdbms, ssas, business intelligence tools, integration services"
Data Engineer - Python SQL,virtusa consulting services pvt. ltd.,2025-08-25,Chennai,3-5 Years,"sql data extraction, python scripting, databricks processing, data pipeline optimization, apache airflow dags, data engineer, data warehousing, data quality, data transformation, etl"
Oracle PL/SQL Developer,Kaarya Consulting Services Pvt Ltd,2025-09-20,Hyderabad,3-5 Years,"oracle pl/sql, debugging, programming language"
Senior Software Engineer  ( SQL ),Zenoti,2025-08-25,Hyderabad,4-6 Years,"sql server management, microsoft, net stack, t sql expertise, agile development practices, t-sql, jquery, microsoft .net, api, crm, c#, python, mobile, windows, infrastructure, angularjs"
SQL Database Administrator,SANMINA CORPORATION,2025-09-06,Chennai,5-9 Years,"database administration, performance optimization, cloud database hosting, automated installation, disaster recovery solutions, security, linux, mysql, mysql db"
Microsoft Sql db Trainer,BRINGLE ACADEMY,2025-09-21,Mumbai,0-3 Years,"microsoft sql, training manuals, develop training"
