Title,Company,Posted on,Location,Experience,Skills,Url,Scrape_date
Career Opportunities: Java Tech Lead (45660),Incedo Inc,2025-10-14,Mexico,8-10 Years,"['fullstack development', 'code quality assurance', 'team leadership', 'software architecture', 'ci/cd practices', 'css', 'java', 'program manager', 'telecom', 'html', 'python', 'javascript', 'spring boot', 'node.js']",https://m.timesjobs.com/mobile/job-detail/career-opportunities-java-tech-lead-45660-incedo-inc-mexico-8-to-10-yrs-jobid-RraE8DiyJitzpSvf__PLUS__uAgZw==&bc=+&sequence=956,2025-10-14
Career Opportunities: Java Tech Lead (45660),Incedo Inc,2025-10-13,Mexico,8-10 Years,"['fullstack development', 'team leadership', 'code review', 'ci/cd practices', 'software architecture', 'css', 'java', 'program manager', 'telecom', 'html', 'python', 'javascript', 'spring boot', 'node.js']",https://m.timesjobs.com/mobile/job-detail/career-opportunities-java-tech-lead-45660-incedo-inc-mexico-8-to-10-yrs-jobid-Ig__SLASH__HfUUH__PLUS__zRzpSvf__PLUS__uAgZw==&bc=+&sequence=959,2025-10-14
Career Opportunities: Java Backend Developer (45467),Incedo Inc,2025-10-13,Mexico,4-6 Years,"['server side programming', 'scalable backend systems', 'database technologies', 'ci/cd pipelines', 'team leadership', 'senior software engineer', 'sql', 'java', 'program manager', 'telecom', 'mongodb', 'python', 'ruby', 'nosql']",https://m.timesjobs.com/mobile/job-detail/career-opportunities-java-backend-developer-45467-incedo-inc-mexico-4-to-6-yrs-jobid-R__SLASH__t0B1JjfMBzpSvf__PLUS__uAgZw==&bc=+&sequence=958,2025-10-14
Application Support - Java Full Stack Developer,DXC Technologies,2025-10-13,Chennai,7-10 Years,"['java full stack', 'spring mvc', 'oracle sql', 'restful services', 'agile methodologies', 'soa', 'rest api', 'hibernate', 'plsql', 'git', 'java ee', 'maven', 'jax-ws', 'gradle']",https://m.timesjobs.com/mobile/job-detail/application-support-java-full-stack-developer-dxc-technologies-chennai-7-to-10-yrs-jobid-n2jRqHzIyv5zpSvf__PLUS__uAgZw==&bc=+&sequence=977,2025-10-14
Career Opportunities: Java Developer (45288),Incedo Inc,2025-10-13,Mexico,3-8 Years,"['digital transformation', 'data science', 'technology services', 'engineering expertise', 'domain understanding', 'consulting', 'domain expert', 'program manager', 'telecom']",https://m.timesjobs.com/mobile/job-detail/career-opportunities-java-developer-45288-incedo-inc-mexico-3-to-8-yrs-jobid-INydAk6L3a1zpSvf__PLUS__uAgZw==&bc=+&sequence=728,2025-10-14
Senior Java Developer,The Scalers,2025-10-13,Bengaluru,6-9 Years,"['java development', 'spring boot', 'aws services', 'sql databases', 'api integrations', 'storage', 'mysql', 'middleware', 'rest', 'java developer', 'infrastructure', 'software developer', 'soap']",https://m.timesjobs.com/mobile/job-detail/senior-java-developer-the-scalers-bengaluru-bangalore-6-to-9-yrs-jobid-QbD4__PLUS__x__PLUS____SLASH__6TtzpSvf__PLUS__uAgZw==&bc=+&sequence=351,2025-10-14
Software Engineer ( Python   Java),Binance,2025-10-13,Singapore,8-11 Years,"['java programming', 'python development', 'system architecture', 'microservices frameworks', 'ai application development', 'spring', 'security', 'database', 'software engineer', 'github', 'cache', 'spring boot', 'infrastructure', 'project delivery', 'message queue']",https://m.timesjobs.com/mobile/job-detail/software-engineer-python-java-binance-singapore-8-to-11-yrs-jobid-7khYtEGRFM5zpSvf__PLUS__uAgZw==&bc=+&sequence=502,2025-10-14
Senior Software Developer - JAVA - Route Mobile,route mobile ltd,2025-10-13,Mumbai,8-10 Years,"['java proficiency', 'analytical thinking', 'reusable code design', 'microservices understanding', 'cloud architecture', 'hibernate', 'spring', 'git', 'postgresql', 'senior software developer', 'mysql', 'mongodb', 'team player', 'javascript', 'nosql', 'spring boot']",https://m.timesjobs.com/mobile/job-detail/senior-software-developer-java-route-mobile-route-mobile-ltd-mumbai-bengaluru-bangalore-8-to-10-yrs-jobid-sncCDaOlx5dzpSvf__PLUS__uAgZw==&bc=+&sequence=960,2025-10-14
Lead Coach - Java,Ethnus,2025-10-13,Bengaluru,4-5 Years,"['oops expertise', 'java proficiency', 'problem solving', 'project mentoring', 'advanced java']",https://m.timesjobs.com/mobile/job-detail/lead-coach-java-ethnus-bengaluru-bangalore-4-to-5-yrs-jobid-UCdaDrOm6mpzpSvf__PLUS__uAgZw==&bc=+&sequence=236,2025-10-14
Senior Java Developer,Profinch Solutions,2025-10-13,Bengaluru,5-7 Years,"['core java development', 'spring framework', 'web services api', 'front end framework', 'agile methodology', 'html5', 'oracle weblogic', 'git', 'digitization', 'jpa', 'rest', 'junit', 'maven', 'ant', 'gradle', 'spring boot', 'soap']",https://m.timesjobs.com/mobile/job-detail/senior-java-developer-profinch-solutions-bengaluru-bangalore-5-to-7-yrs-jobid-Rh3YI__SLASH__IQbe9zpSvf__PLUS__uAgZw==&bc=+&sequence=237,2025-10-14
