Title,Company,Posted on,Location,Experience,Skills
Java Developer,Headhuntersinc consultancy Private Limited,2025-10-05,Chennai,6-9 Years,"oracle pl/sql, jsp, hibernate, ajax, jquery, sql, spring, java, senior software developer, oops, j2ee, debugging, mysql, mvc, oracle, struts, software developer, ioc, j2ee technologies"
Java Developer,Headhuntersinc consultancy Private Limited,2025-10-05,Chennai,6-10 Years,"gwt, senior software engineer, ajax, java developer, java, j2ee, sql database"
Java developer,Headhuntersinc consultancy Private Limited,2025-10-05,Chennai,3-6 Years,"rest, jsp, telecom domain, hibernate, javascript, spring, database, java, json, j2ee architecture, soap"
Java Developer,ITSWS Technologies Pvt. Ltd.,2025-10-05,Noida,1-2 Years,"css, scala, jsp, jdbc, ajax, javascript, jquery, java developer, sql, database, java, servlets, j2ee, mysql, html"
Java Developer,DXC Technologies,2025-10-03,Noida,5-10 Years,"java development, sql database management, agile methodologies, rest api development, software architecture design, websphere, hibernate, spring, git, unix shell scripting, xml, j2ee, json, mongodb, oracle, rdbms, eclipse, struts, soap"
Java Developer,Gauge Data Solutions,2025-10-03,Noida,1-3 Years,"rdbms, jsp, lucene, team player, hibernate, java developer, nosql, database, java, spring mvc, j2ee, mysql"
Java Developer,zenga tv,2025-10-03,Gurgaon,2-5 Years,"html5, jsp, jdbc, hibernate, ajax, sql, spring, java, apache, linux, j2ee, middleware, windows, javascript, java developer, jsf, unix"
Java Developer,LAKSH HUMAN RESOURCE,2025-10-03,Pune,3-6 Years,"c, bootstrap, technology, java developer, spring, java, oops, j2ee, angularjs"
Java Developer,ANR SOFTWARE PVT LTD,2025-10-03,Noida,0-3 Years,"oracle, weblogic, java developer, database, java, j2ee, jpa, api"
Java Developer,zenga tv,2025-10-03,Gurgaon,2-5 Years,"html5, jsp, jdbc, hibernate, ajax, sql, spring, java, apache, linux, j2ee, middleware, windows, javascript, java developer, jsf, unix"
Java Lead,Magic Finserv,2025-10-03,United,8-10 Years,"css, mq, svn, spring, java, git, oops, j2ee, web api, html"
Java Developer,ANR SOFTWARE PVT LTD,2025-10-03,Noida,0-3 Years,"oracle, weblogic, java developer, database, java, j2ee, jpa, api"
Java Developer,origin hr,2025-10-03,Mumbai,5-8 Years,"java development, pl/sql proficiency, api integrations, agile methodologies, problem solving, oracle, java developer"
Java Developer,MindWorx Software Services,2025-10-03,Pune,2-5 Years,"css, hibernate, jquery, sql, spring boot, database, java, spring mvc, j2ee, html, api, angularjs"
