Title,Company,Posted on,Location,Experience,Skills
Python Architect,Headhuntersinc consultancy Private Limited,2025-08-04,Chennai - Tamil,10-13 Years,"hive, c, sql, java, linux, hadoop, big data, c#, global delivery, python, edi, hl7, .net, unix"
Python Developer,zenga tv,2025-08-02,Gurgaon - Haryana,2-5 Years,"python, django, html5, javascript"
Python Developer,Infocom Software,2025-07-27,Thiruvananthapuram - Kerala,0-3 Years,"rest, python, css, html5, machine learning, artificial intelligence, javascript, jquery, security, django, debugging"
Python Developer,Hotelogix,2025-07-26,Bengaluru - Bangalore,3-5 Years,"python coding, web application development, mvc architecture, api development, database design, html5, storage, javascript, security, django, git, testing tools, debugging"
Python Developer,SYNECHRON,2025-07-25,Mumbai - Maharashtra,5-8 Years,"advanced python programming, rest api development, oop and soa principles, version control (git), software requirements, artificial intelligence, sql, security, mobile, nosql"
Python Developer,SEVEN CONSULTANCY,2025-07-25,Hyderabad - Secunderabad,0-3 Years,"rest, python, web developer, storage, software developer"
Python Developer,SYNECHRON,2025-07-24,Bengaluru - Bangalore,7-10 Years,"python core, sql alchemy/orm, multiprocessing/multithreading, artificial intelligence, shell scripting, rest, gtp, mobile"
Python Developer,IQVIA,2025-07-24,Bengaluru - Bangalore,3-5 Years,"data analysis, pl/sql proficiency, machine learning, css, html, sas, logical thinking"
Python Developer,ORACLE,2025-07-23,Hyderabad - Secunderabad,2-5 Years,"python development, software architecture, agile methodologies, web frameworks, problem solving, css, software engineering, html, oracle, javascript, git, debugging, cloud computing, django"
Python Developer,CONNECTING 2 WORK,2025-07-21,Bengaluru - Bangalore,0-3 Years,"python, cache, rest api, storage, javascript, react.js, database, django, apache, postgresql, web technologies, .net, web development, mysql, angularjs"
Python Developer,CONNECTING 2 WORK,2025-07-21,Bengaluru - Bangalore,5-8 Years,"python, css, github, hosting, bug fixing, bootstrap, javascript, jquery, django, heroku, json, html, api"
Python Developer,CONNECTING 2 WORK,2025-07-21,Cochin - Kochi,2-5 Years,"python, storage, sql, security, database, django, git, postgresql, oops, debugging, mysql, api"
PYTHON TRAINER,CONNECTING 2 WORK,2025-07-21,Calicut - Kozhikode,0-3 Years,"rest, python, django, mongodb"
Python Developers,botree technologies,2025-07-20,Ahmedabad - Gujarat,3-6 Years,"security compliance, python, html5, svn, javascript, database, django, git, web developer, debugging"
Python Developer,Ctd Techs Private Limited,2025-07-20,Chennai - Tamil,3-5 Years,"html5, storage, artificial intelligence, security, testing tools, debugging, python, javascript, django"
Python Developer,AxisTechnolabs,2025-07-20,Ahmedabad - Gujarat,0-1 Years,"python, css, user interaction, bootstrap, openerp, database, xml, oops, html"
Python Developer,highrise solutions llp,2025-07-20,Pune - Maharashtra,4-7 Years,"python 3.x, django, linux, mysql, microservices, rest api, docker, java, postgresql, software engineer, middleware, team player, messaging"
Python Developer,ADROIT LEARNING AND MANPOWER PVT LTD,2025-07-20,Ahmedabad - Gujarat,0-5 Years,"rest api, sql, database, security, devops, rest, python, tornado, javascript, django, infrastructure"
Python Programmer,3RI Technologies Pvt Ltd,2025-07-20,Pune - Maharashtra,0-1 Years,"python, Pandas, PyQt5, Matplotlib, Openpyxl"
Python Developer,Techasoft Pvt Ltd,2025-07-20,Bengaluru - Bangalore,0-3 Years,"python, javascript, docker, django, postgresql, oops, mysql, mongodb, opencv"
